date,device,sex,funnel_step,step_order,user_count,conversion_rate_from_previous,min_date,max_date
2015-01-01,Desktop,Female,Home,1,229,100.0,2015-01-01,2015-04-30
2015-01-01,Desktop,Female,Search,2,121,52.84,2015-01-01,2015-04-30
2015-01-01,Desktop,Female,Payment,3,24,19.83,2015-01-01,2015-04-30
2015-01-01,Desktop,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-01,Desktop,Male,Home,1,264,100.0,2015-01-01,2015-04-30
2015-01-01,Desktop,Male,Search,2,135,51.14,2015-01-01,2015-04-30
2015-01-01,Desktop,Male,Payment,3,23,17.04,2015-01-01,2015-04-30
2015-01-01,Desktop,Male,Confirmation,4,1,4.35,2015-01-01,2015-04-30
2015-01-01,Mobile,Female,Home,1,122,100.0,2015-01-01,2015-04-30
2015-01-01,Mobile,Female,Search,2,99,81.15,2015-01-01,2015-04-30
2015-01-01,Mobile,Female,Payment,3,21,21.21,2015-01-01,2015-04-30
2015-01-01,Mobile,Female,Confirmation,4,3,14.29,2015-01-01,2015-04-30
2015-01-01,Mobile,Male,Home,1,97,100.0,2015-01-01,2015-04-30
2015-01-01,Mobile,Male,Search,2,81,83.51,2015-01-01,2015-04-30
2015-01-01,Mobile,Male,Payment,3,8,9.88,2015-01-01,2015-04-30
2015-01-01,Mobile,Male,Confirmation,4,2,25.0,2015-01-01,2015-04-30
2015-01-02,Desktop,Female,Home,1,236,100.0,2015-01-01,2015-04-30
2015-01-02,Desktop,Female,Search,2,136,57.63,2015-01-01,2015-04-30
2015-01-02,Desktop,Female,Payment,3,20,14.71,2015-01-01,2015-04-30
2015-01-02,Desktop,Female,Confirmation,4,1,5.0,2015-01-01,2015-04-30
2015-01-02,Desktop,Male,Home,1,248,100.0,2015-01-01,2015-04-30
2015-01-02,Desktop,Male,Search,2,125,50.4,2015-01-01,2015-04-30
2015-01-02,Desktop,Male,Payment,3,24,19.2,2015-01-01,2015-04-30
2015-01-02,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-02,Mobile,Female,Home,1,119,100.0,2015-01-01,2015-04-30
2015-01-02,Mobile,Female,Search,2,93,78.15,2015-01-01,2015-04-30
2015-01-02,Mobile,Female,Payment,3,21,22.58,2015-01-01,2015-04-30
2015-01-02,Mobile,Female,Confirmation,4,1,4.76,2015-01-01,2015-04-30
2015-01-02,Mobile,Male,Home,1,118,100.0,2015-01-01,2015-04-30
2015-01-02,Mobile,Male,Search,2,93,78.81,2015-01-01,2015-04-30
2015-01-02,Mobile,Male,Payment,3,19,20.43,2015-01-01,2015-04-30
2015-01-02,Mobile,Male,Confirmation,4,3,15.79,2015-01-01,2015-04-30
2015-01-03,Desktop,Female,Home,1,248,100.0,2015-01-01,2015-04-30
2015-01-03,Desktop,Female,Search,2,102,41.13,2015-01-01,2015-04-30
2015-01-03,Desktop,Female,Payment,3,9,8.82,2015-01-01,2015-04-30
2015-01-03,Desktop,Female,Confirmation,4,1,11.11,2015-01-01,2015-04-30
2015-01-03,Desktop,Male,Home,1,259,100.0,2015-01-01,2015-04-30
2015-01-03,Desktop,Male,Search,2,120,46.33,2015-01-01,2015-04-30
2015-01-03,Desktop,Male,Payment,3,13,10.83,2015-01-01,2015-04-30
2015-01-03,Desktop,Male,Confirmation,4,2,15.38,2015-01-01,2015-04-30
2015-01-03,Mobile,Female,Home,1,127,100.0,2015-01-01,2015-04-30
2015-01-03,Mobile,Female,Search,2,98,77.17,2015-01-01,2015-04-30
2015-01-03,Mobile,Female,Payment,3,17,17.35,2015-01-01,2015-04-30
2015-01-03,Mobile,Female,Confirmation,4,2,11.76,2015-01-01,2015-04-30
2015-01-03,Mobile,Male,Home,1,126,100.0,2015-01-01,2015-04-30
2015-01-03,Mobile,Male,Search,2,102,80.95,2015-01-01,2015-04-30
2015-01-03,Mobile,Male,Payment,3,25,24.51,2015-01-01,2015-04-30
2015-01-03,Mobile,Male,Confirmation,4,2,8.0,2015-01-01,2015-04-30
2015-01-04,Desktop,Female,Home,1,237,100.0,2015-01-01,2015-04-30
2015-01-04,Desktop,Female,Search,2,124,52.32,2015-01-01,2015-04-30
2015-01-04,Desktop,Female,Payment,3,21,16.94,2015-01-01,2015-04-30
2015-01-04,Desktop,Female,Confirmation,4,1,4.76,2015-01-01,2015-04-30
2015-01-04,Desktop,Male,Home,1,237,100.0,2015-01-01,2015-04-30
2015-01-04,Desktop,Male,Search,2,125,52.74,2015-01-01,2015-04-30
2015-01-04,Desktop,Male,Payment,3,17,13.6,2015-01-01,2015-04-30
2015-01-04,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-04,Mobile,Female,Home,1,124,100.0,2015-01-01,2015-04-30
2015-01-04,Mobile,Female,Search,2,103,83.06,2015-01-01,2015-04-30
2015-01-04,Mobile,Female,Payment,3,19,18.45,2015-01-01,2015-04-30
2015-01-04,Mobile,Female,Confirmation,4,1,5.26,2015-01-01,2015-04-30
2015-01-04,Mobile,Male,Home,1,115,100.0,2015-01-01,2015-04-30
2015-01-04,Mobile,Male,Search,2,95,82.61,2015-01-01,2015-04-30
2015-01-04,Mobile,Male,Payment,3,19,20.0,2015-01-01,2015-04-30
2015-01-04,Mobile,Male,Confirmation,4,5,26.32,2015-01-01,2015-04-30
2015-01-05,Desktop,Female,Home,1,227,100.0,2015-01-01,2015-04-30
2015-01-05,Desktop,Female,Search,2,118,51.98,2015-01-01,2015-04-30
2015-01-05,Desktop,Female,Payment,3,17,14.41,2015-01-01,2015-04-30
2015-01-05,Desktop,Female,Confirmation,4,2,11.76,2015-01-01,2015-04-30
2015-01-05,Desktop,Male,Home,1,256,100.0,2015-01-01,2015-04-30
2015-01-05,Desktop,Male,Search,2,131,51.17,2015-01-01,2015-04-30
2015-01-05,Desktop,Male,Payment,3,20,15.27,2015-01-01,2015-04-30
2015-01-05,Desktop,Male,Confirmation,4,1,5.0,2015-01-01,2015-04-30
2015-01-05,Mobile,Female,Home,1,133,100.0,2015-01-01,2015-04-30
2015-01-05,Mobile,Female,Search,2,104,78.2,2015-01-01,2015-04-30
2015-01-05,Mobile,Female,Payment,3,27,25.96,2015-01-01,2015-04-30
2015-01-05,Mobile,Female,Confirmation,4,4,14.81,2015-01-01,2015-04-30
2015-01-05,Mobile,Male,Home,1,138,100.0,2015-01-01,2015-04-30
2015-01-05,Mobile,Male,Search,2,109,78.99,2015-01-01,2015-04-30
2015-01-05,Mobile,Male,Payment,3,24,22.02,2015-01-01,2015-04-30
2015-01-05,Mobile,Male,Confirmation,4,4,16.67,2015-01-01,2015-04-30
2015-01-06,Desktop,Female,Home,1,248,100.0,2015-01-01,2015-04-30
2015-01-06,Desktop,Female,Search,2,135,54.44,2015-01-01,2015-04-30
2015-01-06,Desktop,Female,Payment,3,16,11.85,2015-01-01,2015-04-30
2015-01-06,Desktop,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-06,Desktop,Male,Home,1,243,100.0,2015-01-01,2015-04-30
2015-01-06,Desktop,Male,Search,2,112,46.09,2015-01-01,2015-04-30
2015-01-06,Desktop,Male,Payment,3,18,16.07,2015-01-01,2015-04-30
2015-01-06,Desktop,Male,Confirmation,4,1,5.56,2015-01-01,2015-04-30
2015-01-06,Mobile,Female,Home,1,129,100.0,2015-01-01,2015-04-30
2015-01-06,Mobile,Female,Search,2,101,78.29,2015-01-01,2015-04-30
2015-01-06,Mobile,Female,Payment,3,19,18.81,2015-01-01,2015-04-30
2015-01-06,Mobile,Female,Confirmation,4,6,31.58,2015-01-01,2015-04-30
2015-01-06,Mobile,Male,Home,1,122,100.0,2015-01-01,2015-04-30
2015-01-06,Mobile,Male,Search,2,97,79.51,2015-01-01,2015-04-30
2015-01-06,Mobile,Male,Payment,3,14,14.43,2015-01-01,2015-04-30
2015-01-06,Mobile,Male,Confirmation,4,2,14.29,2015-01-01,2015-04-30
2015-01-07,Desktop,Female,Home,1,249,100.0,2015-01-01,2015-04-30
2015-01-07,Desktop,Female,Search,2,126,50.6,2015-01-01,2015-04-30
2015-01-07,Desktop,Female,Payment,3,16,12.7,2015-01-01,2015-04-30
2015-01-07,Desktop,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-07,Desktop,Male,Home,1,240,100.0,2015-01-01,2015-04-30
2015-01-07,Desktop,Male,Search,2,117,48.75,2015-01-01,2015-04-30
2015-01-07,Desktop,Male,Payment,3,11,9.4,2015-01-01,2015-04-30
2015-01-07,Desktop,Male,Confirmation,4,2,18.18,2015-01-01,2015-04-30
2015-01-07,Mobile,Female,Home,1,90,100.0,2015-01-01,2015-04-30
2015-01-07,Mobile,Female,Search,2,72,80.0,2015-01-01,2015-04-30
2015-01-07,Mobile,Female,Payment,3,17,23.61,2015-01-01,2015-04-30
2015-01-07,Mobile,Female,Confirmation,4,2,11.76,2015-01-01,2015-04-30
2015-01-07,Mobile,Male,Home,1,115,100.0,2015-01-01,2015-04-30
2015-01-07,Mobile,Male,Search,2,89,77.39,2015-01-01,2015-04-30
2015-01-07,Mobile,Male,Payment,3,11,12.36,2015-01-01,2015-04-30
2015-01-07,Mobile,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-08,Desktop,Female,Home,1,244,100.0,2015-01-01,2015-04-30
2015-01-08,Desktop,Female,Search,2,110,45.08,2015-01-01,2015-04-30
2015-01-08,Desktop,Female,Payment,3,13,11.82,2015-01-01,2015-04-30
2015-01-08,Desktop,Female,Confirmation,4,2,15.38,2015-01-01,2015-04-30
2015-01-08,Desktop,Male,Home,1,235,100.0,2015-01-01,2015-04-30
2015-01-08,Desktop,Male,Search,2,106,45.11,2015-01-01,2015-04-30
2015-01-08,Desktop,Male,Payment,3,18,16.98,2015-01-01,2015-04-30
2015-01-08,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-08,Mobile,Female,Home,1,117,100.0,2015-01-01,2015-04-30
2015-01-08,Mobile,Female,Search,2,95,81.2,2015-01-01,2015-04-30
2015-01-08,Mobile,Female,Payment,3,11,11.58,2015-01-01,2015-04-30
2015-01-08,Mobile,Female,Confirmation,4,1,9.09,2015-01-01,2015-04-30
2015-01-08,Mobile,Male,Home,1,118,100.0,2015-01-01,2015-04-30
2015-01-08,Mobile,Male,Search,2,98,83.05,2015-01-01,2015-04-30
2015-01-08,Mobile,Male,Payment,3,22,22.45,2015-01-01,2015-04-30
2015-01-08,Mobile,Male,Confirmation,4,2,9.09,2015-01-01,2015-04-30
2015-01-09,Desktop,Female,Home,1,233,100.0,2015-01-01,2015-04-30
2015-01-09,Desktop,Female,Search,2,107,45.92,2015-01-01,2015-04-30
2015-01-09,Desktop,Female,Payment,3,17,15.89,2015-01-01,2015-04-30
2015-01-09,Desktop,Female,Confirmation,4,1,5.88,2015-01-01,2015-04-30
2015-01-09,Desktop,Male,Home,1,237,100.0,2015-01-01,2015-04-30
2015-01-09,Desktop,Male,Search,2,111,46.84,2015-01-01,2015-04-30
2015-01-09,Desktop,Male,Payment,3,20,18.02,2015-01-01,2015-04-30
2015-01-09,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-09,Mobile,Female,Home,1,136,100.0,2015-01-01,2015-04-30
2015-01-09,Mobile,Female,Search,2,107,78.68,2015-01-01,2015-04-30
2015-01-09,Mobile,Female,Payment,3,23,21.5,2015-01-01,2015-04-30
2015-01-09,Mobile,Female,Confirmation,4,3,13.04,2015-01-01,2015-04-30
2015-01-09,Mobile,Male,Home,1,107,100.0,2015-01-01,2015-04-30
2015-01-09,Mobile,Male,Search,2,81,75.7,2015-01-01,2015-04-30
2015-01-09,Mobile,Male,Payment,3,16,19.75,2015-01-01,2015-04-30
2015-01-09,Mobile,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-10,Desktop,Female,Home,1,236,100.0,2015-01-01,2015-04-30
2015-01-10,Desktop,Female,Search,2,128,54.24,2015-01-01,2015-04-30
2015-01-10,Desktop,Female,Payment,3,22,17.19,2015-01-01,2015-04-30
2015-01-10,Desktop,Female,Confirmation,4,1,4.55,2015-01-01,2015-04-30
2015-01-10,Desktop,Male,Home,1,243,100.0,2015-01-01,2015-04-30
2015-01-10,Desktop,Male,Search,2,130,53.5,2015-01-01,2015-04-30
2015-01-10,Desktop,Male,Payment,3,22,16.92,2015-01-01,2015-04-30
2015-01-10,Desktop,Male,Confirmation,4,2,9.09,2015-01-01,2015-04-30
2015-01-10,Mobile,Female,Home,1,133,100.0,2015-01-01,2015-04-30
2015-01-10,Mobile,Female,Search,2,105,78.95,2015-01-01,2015-04-30
2015-01-10,Mobile,Female,Payment,3,20,19.05,2015-01-01,2015-04-30
2015-01-10,Mobile,Female,Confirmation,4,2,10.0,2015-01-01,2015-04-30
2015-01-10,Mobile,Male,Home,1,118,100.0,2015-01-01,2015-04-30
2015-01-10,Mobile,Male,Search,2,86,72.88,2015-01-01,2015-04-30
2015-01-10,Mobile,Male,Payment,3,13,15.12,2015-01-01,2015-04-30
2015-01-10,Mobile,Male,Confirmation,4,2,15.38,2015-01-01,2015-04-30
2015-01-11,Desktop,Female,Home,1,252,100.0,2015-01-01,2015-04-30
2015-01-11,Desktop,Female,Search,2,134,53.17,2015-01-01,2015-04-30
2015-01-11,Desktop,Female,Payment,3,17,12.69,2015-01-01,2015-04-30
2015-01-11,Desktop,Female,Confirmation,4,1,5.88,2015-01-01,2015-04-30
2015-01-11,Desktop,Male,Home,1,235,100.0,2015-01-01,2015-04-30
2015-01-11,Desktop,Male,Search,2,119,50.64,2015-01-01,2015-04-30
2015-01-11,Desktop,Male,Payment,3,17,14.29,2015-01-01,2015-04-30
2015-01-11,Desktop,Male,Confirmation,4,1,5.88,2015-01-01,2015-04-30
2015-01-11,Mobile,Female,Home,1,128,100.0,2015-01-01,2015-04-30
2015-01-11,Mobile,Female,Search,2,100,78.13,2015-01-01,2015-04-30
2015-01-11,Mobile,Female,Payment,3,22,22.0,2015-01-01,2015-04-30
2015-01-11,Mobile,Female,Confirmation,4,5,22.73,2015-01-01,2015-04-30
2015-01-11,Mobile,Male,Home,1,125,100.0,2015-01-01,2015-04-30
2015-01-11,Mobile,Male,Search,2,93,74.4,2015-01-01,2015-04-30
2015-01-11,Mobile,Male,Payment,3,23,24.73,2015-01-01,2015-04-30
2015-01-11,Mobile,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-12,Desktop,Female,Home,1,266,100.0,2015-01-01,2015-04-30
2015-01-12,Desktop,Female,Search,2,140,52.63,2015-01-01,2015-04-30
2015-01-12,Desktop,Female,Payment,3,26,18.57,2015-01-01,2015-04-30
2015-01-12,Desktop,Female,Confirmation,4,2,7.69,2015-01-01,2015-04-30
2015-01-12,Desktop,Male,Home,1,233,100.0,2015-01-01,2015-04-30
2015-01-12,Desktop,Male,Search,2,115,49.36,2015-01-01,2015-04-30
2015-01-12,Desktop,Male,Payment,3,16,13.91,2015-01-01,2015-04-30
2015-01-12,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-12,Mobile,Female,Home,1,119,100.0,2015-01-01,2015-04-30
2015-01-12,Mobile,Female,Search,2,92,77.31,2015-01-01,2015-04-30
2015-01-12,Mobile,Female,Payment,3,17,18.48,2015-01-01,2015-04-30
2015-01-12,Mobile,Female,Confirmation,4,2,11.76,2015-01-01,2015-04-30
2015-01-12,Mobile,Male,Home,1,123,100.0,2015-01-01,2015-04-30
2015-01-12,Mobile,Male,Search,2,101,82.11,2015-01-01,2015-04-30
2015-01-12,Mobile,Male,Payment,3,16,15.84,2015-01-01,2015-04-30
2015-01-12,Mobile,Male,Confirmation,4,2,12.5,2015-01-01,2015-04-30
2015-01-13,Desktop,Female,Home,1,229,100.0,2015-01-01,2015-04-30
2015-01-13,Desktop,Female,Search,2,123,53.71,2015-01-01,2015-04-30
